OBJECTID,JDMC,ATM,KTV,三星级酒店,专科医院,世界遗产,中介,中国菜,中学,乒乓球,二手车,五星级酒店,产业园,会展展览,住宅区,便利店,保险,保龄球,信息咨询中心,停车场,健身中心,充电站,免税店,公交站,公共事业,公厕,公司,公园,其他,其他能源站,写字楼,农家乐,农林牧渔,冰雪运动,别墅区,剧场,加气站,加油站,动物医疗,动物园,医药销售,博物馆,口岸,台球,咖啡,商业街,商住两用楼宇,四星级酒店,图书馆,地铁,培训单位,壁球,外国菜,天文馆,宗教,家居建材,家电数码,宿舍,小吃快餐,小学,工业大楼,工厂,市场,幼儿园,广场,广播电视,度假养老,彩票销售,急救中心,成人教育,户外健身场所,投资理财,摄影打印,收费站,文体用品,文化宫,新闻出版,旅馆,景点,服务区,档案馆,棋牌室,植物园,橄榄球,水上运动,水族馆,汽车养护,汽车租赁,汽车维修,汽车配件,汽车销售,洗浴推拿,洗衣,洗车,港口码头,游乐场,游泳,火车,物流,电影院,电讯营业厅,疾病预防,百货商场,社区中心,科技馆,科研单位,篮球,红色旅游,纪念馆,经济型连锁酒店,综合体育馆,综合医院,网吧,网球,美容理发,美术展览,羽毛球,职业技术教育,艺术团体,花鸟鱼虫,茶座,蛋糕甜品店,诊所,购物中心,超市,足球,跆拳道,轮渡,邮局,酒吧,银行,长途汽车,露营地,青旅,飞机,马术&赛马,驾校,高尔夫球,高等教育
1,黃大仙,37,0,0,13,0,42,258,25,0,0,0,1,4,333,72,0,0,0,133,8,14,19,331,0,18,898,29,1454,0,41,0,0,0,0,2,0,1,2,1,77,2,0,1,24,1,2,0,5,19,63,1,79,0,46,85,60,12,113,20,18,17,40,47,2,3,26,3,2,2,0,2,16,0,39,0,3,0,3,1,0,0,0,0,0,2,7,0,51,12,2,7,33,0,0,11,3,0,16,1,7,1,35,2,0,1,3,0,0,1,5,19,3,3,119,0,2,0,2,6,5,37,463,6,61,4,1,0,9,4,31,0,0,0,0,1,0,0,3
2,葵青區,104,0,1,17,0,127,721,37,0,0,0,9,2,357,163,1,3,0,314,23,19,51,530,1,46,6579,47,3563,1,188,0,0,0,0,3,0,13,9,0,112,2,0,3,90,5,7,1,5,18,81,1,230,0,39,231,121,10,294,30,169,91,64,73,2,0,46,4,4,7,1,12,54,2,46,1,4,3,8,0,0,0,0,0,0,1,14,1,62,23,9,6,40,4,7,31,4,0,222,0,11,0,86,9,0,0,9,0,1,0,9,17,8,3,206,0,2,1,2,22,9,64,655,12,109,7,0,0,9,18,79,0,0,0,0,0,0,1,5
3,深水埗,93,0,1,20,0,263,794,39,0,17,0,0,1,697,214,3,0,1,328,28,14,60,361,1,18,5622,30,4253,0,199,0,4,1,0,5,1,10,20,0,186,2,0,3,79,5,26,0,6,39,143,0,231,0,49,545,288,12,264,30,65,93,120,46,1,0,66,7,3,5,0,20,42,0,48,0,2,10,11,0,0,9,0,0,0,0,16,3,83,36,7,39,94,4,6,16,3,0,133,0,10,0,106,2,0,4,7,0,1,0,8,20,11,2,331,0,2,1,1,19,11,114,893,7,109,6,0,0,9,19,96,0,0,2,0,1,3,0,9
4,油尖旺,85,45,28,67,0,479,1442,30,1,4,6,1,3,927,281,44,0,4,394,62,26,94,373,0,78,9005,53,8994,0,461,0,3,0,0,12,1,4,27,0,298,0,0,4,231,13,93,15,6,39,254,2,657,1,63,1554,285,7,397,18,41,63,243,55,3,0,52,10,1,12,0,44,47,5,132,0,5,33,24,0,0,24,2,0,0,1,16,2,83,31,8,104,131,3,5,12,2,2,132,4,7,0,166,2,0,17,5,0,0,1,5,41,7,2,738,1,0,7,8,30,17,184,2162,21,113,8,0,3,3,160,144,0,0,0,0,1,1,0,13
5,九龍城,130,5,7,44,0,343,1080,76,2,2,1,2,3,1283,238,7,0,0,412,32,20,75,581,2,36,4454,51,6369,1,226,0,6,0,6,11,0,17,44,0,251,3,0,7,178,4,71,2,13,48,236,2,451,0,93,317,268,24,389,58,40,47,116,94,0,1,79,7,4,10,0,52,91,0,130,1,2,28,13,2,0,16,0,1,0,0,23,3,101,55,27,60,84,1,3,36,4,4,77,2,11,1,115,2,0,8,3,0,8,0,13,39,7,6,505,1,2,1,2,202,21,217,1485,12,141,9,4,0,7,107,158,1,0,1,1,1,4,0,28
6,觀塘區,93,2,0,17,0,145,783,47,0,2,1,5,1,587,207,0,0,1,339,37,56,103,595,1,22,9620,55,4997,0,311,0,4,1,0,10,1,7,8,0,127,0,0,5,176,2,16,2,14,41,109,0,307,0,51,290,173,16,307,35,146,108,103,76,2,0,27,5,3,6,0,21,81,2,70,1,5,2,9,3,0,4,0,0,0,4,26,1,109,34,127,10,43,1,4,43,5,0,144,0,11,1,106,9,0,1,7,0,0,0,10,24,8,4,293,0,6,0,0,21,12,68,863,10,131,9,0,3,12,15,110,0,0,0,0,2,3,0,5
7,西貢區,64,0,0,14,0,63,258,40,1,0,1,1,2,358,111,1,0,2,194,15,17,35,466,0,126,539,44,2029,3,235,0,5,0,26,5,0,5,1,0,54,1,0,0,47,1,1,1,9,26,65,4,149,0,36,87,85,18,144,28,5,4,70,76,2,0,25,4,2,4,0,4,3,2,26,0,0,1,10,0,0,0,0,0,3,1,1,1,12,2,2,8,27,0,5,19,3,0,21,3,27,0,61,9,0,5,13,0,0,0,10,12,0,3,111,0,1,3,0,9,2,37,400,9,99,7,1,0,11,6,47,1,10,0,0,1,0,3,12
8,大埔區,62,1,0,14,0,124,295,30,1,0,0,4,2,484,99,3,0,1,163,11,7,8,355,1,82,594,36,1612,2,92,0,24,1,24,1,1,7,12,1,104,2,0,2,33,1,4,0,2,8,74,0,91,0,62,151,69,15,109,18,7,11,55,34,3,0,33,1,1,3,1,11,9,0,26,0,2,0,22,0,0,1,3,0,2,4,8,0,40,17,1,19,29,2,4,20,2,0,14,0,10,1,49,4,0,3,7,0,1,0,9,12,4,1,178,0,2,1,2,8,15,52,446,3,59,4,0,4,5,31,46,0,3,3,0,0,1,2,6
9,沙田區,156,4,0,34,0,167,580,66,0,0,1,1,4,613,171,0,1,0,356,18,37,56,715,0,76,4526,66,3583,1,149,0,4,1,7,4,1,10,22,1,111,2,0,3,87,1,10,4,16,56,158,1,240,0,70,247,111,31,289,57,43,98,100,93,3,0,32,9,3,3,0,7,33,6,70,1,15,1,10,0,0,0,0,0,1,3,12,2,91,21,13,14,72,1,0,36,12,0,76,1,22,0,92,5,0,7,13,0,2,0,8,14,6,4,326,0,5,0,0,28,9,82,958,12,136,11,1,0,12,19,101,0,1,0,0,18,1,0,22
10,北區,96,4,12,40,0,147,657,51,0,3,2,5,3,474,379,5,0,1,583,30,48,16,331,2,189,1397,41,2995,3,218,3,45,1,10,6,0,10,17,0,181,2,4,5,33,3,22,4,8,44,167,1,77,0,73,259,135,14,252,29,11,31,145,75,6,0,41,15,4,5,0,9,31,0,43,1,4,12,16,0,0,10,2,0,0,1,22,6,99,52,44,94,31,4,2,43,7,41,216,3,25,6,43,5,0,4,10,1,2,4,8,19,13,3,281,0,4,0,4,34,39,80,435,12,91,3,2,1,13,17,59,4,4,7,0,3,7,1,2
